"","ProbabilityThreshold","Species","Life_Stage","Hydraulic","Node","Position","Lower","Upper"
"126","Low","Chub","Adult","Depth","J04-010","slice3",1.18,NA
"127","Med","Chub","Adult","Depth","J04-010","slice3",3.47,NA
"128","High","Chub","Adult","Depth","J04-010","slice3",6.89,NA
"129","Low","Chub","Adult","Depth","J05-010","slice1",1.34,NA
"130","Med","Chub","Adult","Depth","J05-010","slice1",3.25,NA
"131","High","Chub","Adult","Depth","J05-010","slice1",6.05,NA
"132","Low","Chub","Adult","Depth","J07-010","slice1",7.21,NA
"133","Med","Chub","Adult","Depth","J07-010","slice1",14.24,NA
"134","High","Chub","Adult","Depth","J07-010","slice1",23.19,NA
"135","High","Chub","Adult","Velocity","I01-012","slice2",0.01,0.14
"136","Med","Chub","Adult","Velocity","I01-020","slice2",0,0.17
"137","High","Chub","Adult","Velocity","I01-020","slice2",0,0.11
"138","Med","Chub","Adult","Velocity","K01-020","slice2",0.01,2.59
"139","High","Chub","Adult","Velocity","K01-020","slice2",0.08,1.72
"140","High","Chub","Adult","Velocity","K01-030","slice2",0.02,0.3
"141","Med","Chub","Adult","Velocity","L01-100","slice3",0.01,0.09
"142","High","Chub","Adult","Velocity","L01-100","slice3",0.01,0.06
"143","Med","Chub","Adult","Velocity","L02-010","slice2",0,0.59
"144","High","Chub","Adult","Velocity","L02-010","slice2",0,0.44
"145","Med","Chub","Adult","Velocity","L02-020","slice1",0.01,0.8
"146","High","Chub","Adult","Velocity","L02-020","slice1",0.02,0.61
"147","High","Chub","Adult","Velocity","L02-021","slice3",0.02,0.34
"148","Med","Chub","Adult","Velocity","L02-022","slice2",0.16,12.49
"149","High","Chub","Adult","Velocity","L02-022","slice2",0.4,9.9
"150","High","Chub","Adult","Velocity","L02-050","slice2",0.01,0.21
"151","High","Chub","Adult","Velocity","L02-051","slice2",0,0.21
"152","Med","Chub","Adult","Velocity","L03-010","slice2",0,1.58
"153","High","Chub","Adult","Velocity","L03-010","slice2",0.01,1.15
"154","Med","Chub","Adult","Velocity","L03-011","slice1",0.02,7.04
"155","High","Chub","Adult","Velocity","L03-011","slice1",0.16,4.12
"156","High","Chub","Adult","Velocity","L03-030","slice3",0.05,0.12
"157","High","Chub","Adult","Velocity","L04-010","slice2",0.02,0.5
"158","High","Chub","Adult","Velocity","M01-011","slice2",0.04,0.51
"159","High","Chub","Adult","Velocity","M02-011","slice3",0.04,0.78
"160","Med","Chub","Adult","Velocity","J01-010","slice2",0.25,24.33
"161","High","Chub","Adult","Velocity","J01-010","slice2",1.13,16.35
"162","Med","Chub","Adult","Velocity","J01-031","slice2",0,0.51
"163","High","Chub","Adult","Velocity","J01-031","slice2",0.01,0.35
"164","High","Chub","Adult","Velocity","J01-040","slice4",0.07,3.23
"165","High","Chub","Adult","Velocity","J01-041","slice2",0.04,1
"166","Med","Chub","Adult","Velocity","J01-061","slice2",0.02,1.87
"167","High","Chub","Adult","Velocity","J01-061","slice2",0.08,1.26
"168","Med","Chub","Adult","Velocity","J01-090","slice2",0.01,0.47
"169","High","Chub","Adult","Velocity","J01-090","slice2",0.02,0.29
"170","Med","Chub","Adult","Velocity","J01-091","slice2",0,0.32
"171","High","Chub","Adult","Velocity","J01-091","slice2",0,0.19
"172","Med","Chub","Adult","Velocity","J01-100","slice2",0.04,0.31
"173","High","Chub","Adult","Velocity","J01-100","slice2",0.04,0.22
"174","High","Chub","Adult","Velocity","J03-010","slice2",0.03,0.54
"175","High","Chub","Adult","Velocity","J04-010","slice3",0.09,3.63
"176","High","Chub","Adult","Velocity","J05-010","slice1",0.02,0.67
"177","High","Chub","Adult","Velocity","J07-010","slice1",0.02,0.59
"178","Low","Chub","Adult","Velocity","I01-012","slice2",NA,0.3
"179","Med","Chub","Adult","Velocity","I01-012","slice2",NA,0.2
"180","Low","Chub","Adult","Velocity","I01-020","slice2",NA,0.26
"181","Low","Chub","Adult","Velocity","K01-010","slice3",NA,0.91
"182","Med","Chub","Adult","Velocity","K01-010","slice3",NA,0.54
"183","High","Chub","Adult","Velocity","K01-010","slice3",NA,0.23
"184","Low","Chub","Adult","Velocity","K01-020","slice2",NA,5.99
"185","Low","Chub","Adult","Velocity","K01-030","slice2",NA,0.81
"186","Med","Chub","Adult","Velocity","K01-030","slice2",NA,0.47
"187","Low","Chub","Adult","Velocity","L01-080","slice3",NA,0.18
"188","Med","Chub","Adult","Velocity","L01-080","slice3",NA,0.09
"189","High","Chub","Adult","Velocity","L01-080","slice3",NA,0.07
"190","Low","Chub","Adult","Velocity","L01-100","slice3",NA,0.12
"191","Low","Chub","Adult","Velocity","L02-010","slice2",NA,0.79
"192","Low","Chub","Adult","Velocity","L02-020","slice1",NA,1.34
"193","Low","Chub","Adult","Velocity","L02-021","slice3",NA,0.91
"194","Med","Chub","Adult","Velocity","L02-021","slice3",NA,0.65
"195","Low","Chub","Adult","Velocity","L02-022","slice2",NA,16.41
"196","Low","Chub","Adult","Velocity","L02-023","slice4",NA,0.81
"197","Med","Chub","Adult","Velocity","L02-023","slice4",NA,0.56
"198","High","Chub","Adult","Velocity","L02-023","slice4",NA,0.39
"199","Low","Chub","Adult","Velocity","L02-030","slice2",NA,0.64
"200","Med","Chub","Adult","Velocity","L02-030","slice2",NA,0.37
"201","High","Chub","Adult","Velocity","L02-030","slice2",NA,0.21
"202","High","Chub","Adult","Velocity","L02-031","slice4",NA,0.29
"203","Med","Chub","Adult","Velocity","L02-040","slice4",NA,0.24
"204","High","Chub","Adult","Velocity","L02-040","slice4",NA,0.14
"205","Low","Chub","Adult","Velocity","L02-041","slice2",NA,6.78
"206","Med","Chub","Adult","Velocity","L02-041","slice2",NA,3.26
"207","High","Chub","Adult","Velocity","L02-041","slice2",NA,2.38
"208","Low","Chub","Adult","Velocity","L02-050","slice2",NA,0.47
"209","Med","Chub","Adult","Velocity","L02-050","slice2",NA,0.32
"210","Low","Chub","Adult","Velocity","L02-051","slice2",NA,0.45
"211","Med","Chub","Adult","Velocity","L02-051","slice2",NA,0.3
"212","Low","Chub","Adult","Velocity","L03-010","slice2",NA,2.54
"213","Low","Chub","Adult","Velocity","L03-011","slice1",NA,11.78
"214","Low","Chub","Adult","Velocity","L03-020","slice2",NA,0.11
"215","Med","Chub","Adult","Velocity","L03-020","slice2",NA,0.08
"216","High","Chub","Adult","Velocity","L03-020","slice2",NA,0.06
"217","Low","Chub","Adult","Velocity","L03-030","slice3",NA,0.23
"218","Med","Chub","Adult","Velocity","L03-030","slice3",NA,0.16
"219","Low","Chub","Adult","Velocity","L04-010","slice2",NA,1.39
"220","Low","Chub","Adult","Velocity","L05-010","slice2",NA,0.53
"221","Med","Chub","Adult","Velocity","L05-010","slice2",NA,0.35
"222","High","Chub","Adult","Velocity","L05-010","slice2",NA,0.23
"223","Low","Chub","Adult","Velocity","L05-020","slice3",NA,0.67
"224","Med","Chub","Adult","Velocity","L05-020","slice3",NA,0.41
"225","High","Chub","Adult","Velocity","L05-020","slice3",NA,0.16
"226","Low","Chub","Adult","Velocity","M01-011","slice2",NA,1.26
"227","Med","Chub","Adult","Velocity","M01-011","slice2",NA,0.79
"228","Low","Chub","Adult","Velocity","M01-020","slice2",NA,0.36
"229","High","Chub","Adult","Velocity","M01-020","slice2",NA,0.12
"230","Low","Chub","Adult","Velocity","M02-011","slice3",NA,1.73
"231","Med","Chub","Adult","Velocity","M02-011","slice3",NA,1.1
"232","Low","Chub","Adult","Velocity","M02-020","slice2",NA,0.61
"233","Med","Chub","Adult","Velocity","M02-020","slice2",NA,0.44
"234","High","Chub","Adult","Velocity","M02-020","slice2",NA,0.34
"235","Low","Chub","Adult","Velocity","J01-010","slice2",NA,34.38
"236","Low","Chub","Adult","Velocity","J01-020","slice3",NA,1.29
"237","Med","Chub","Adult","Velocity","J01-020","slice3",NA,0.67
"238","High","Chub","Adult","Velocity","J01-020","slice3",NA,0.46
"239","Med","Chub","Adult","Velocity","J01-030","slice3",NA,0.09
"240","High","Chub","Adult","Velocity","J01-030","slice3",NA,0.06
"241","Low","Chub","Adult","Velocity","J01-031","slice2",NA,0.77
"242","Low","Chub","Adult","Velocity","J01-040","slice4",NA,7.18
"243","Low","Chub","Adult","Velocity","J01-041","slice2",NA,2.52
"244","Med","Chub","Adult","Velocity","J01-041","slice2",NA,1.56
"245","Low","Chub","Adult","Velocity","J01-060","slice2",NA,0.76
"246","Med","Chub","Adult","Velocity","J01-060","slice2",NA,0.55
"247","High","Chub","Adult","Velocity","J01-060","slice2",NA,0.29
"248","Low","Chub","Adult","Velocity","J01-061","slice2",NA,2.79
